# experiment P-13 (R-006)
# hypothesis: M-66's non-convergent angle is bounded below by the dihedral angle of the feature, so it is a property of sharp edges rather than of resolution and is predictable from the field.
# falsified by: The angle failing to track the dihedral prediction, which makes it a defect with a location rather than a property.
# commit ddee724 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-16T06:27:38Z
dihedral_deg,samples,measured_angle_deg,predicted_angle_deg,apex,cell_size,extractor,inverted_offsurface_cells,inverted_vertices,mean_angle_deg,median_angle_deg,p99_angle_deg,rotation_deg,triangles,vertices_counted
90.0,17,45.0311,45.0000,aligned,2.50000000000000000e-1,dual_contouring,0.0000,0,5.6899,0.0513,45.0311,17,870,364
90.0,33,45.0000,45.0000,aligned,1.25000000000000000e-1,marching_cubes,0.0000,0,11.8329,0.0000,45.0000,17,3840,1798
90.0,33,72.1047,45.0000,aligned,1.25000000000000000e-1,dual_contouring,0.0000,0,7.3595,0.0741,72.1047,17,3658,1710
90.0,65,45.0000,45.0000,aligned,6.25000000000000000e-2,marching_cubes,0.0000,0,9.5488,0.0000,45.0000,17,15616,7497
90.0,65,71.6431,45.0000,aligned,6.25000000000000000e-2,dual_contouring,0.0000,0,7.0395,0.0513,67.6771,17,15246,7316
90.0,129,90.0000,45.0000,aligned,3.12500000000000000e-2,marching_cubes,0.0000,127,9.2345,0.0000,45.0000,17,62720,30734
90.0,129,90.0000,45.0000,aligned,3.12500000000000000e-2,dual_contouring,0.0000,126,6.6774,0.0439,71.5651,17,61976,30366
90.0,17,90.0000,45.0000,offset,2.50000000000000000e-1,marching_cubes,0.0000,0,13.2826,0.0000,90.0000,17,928,405
90.0,17,36.1664,45.0000,offset,2.50000000000000000e-1,dual_contouring,0.0000,0,2.5201,0.0467,36.1664,17,840,364
90.0,33,90.0000,45.0000,offset,1.25000000000000000e-1,marching_cubes,0.0000,0,8.5109,0.0000,90.0000,17,3840,1798
90.0,33,44.9575,45.0000,offset,1.25000000000000000e-1,dual_contouring,0.0000,0,3.3329,0.0023,44.9575,17,3658,1710
90.0,65,90.0000,45.0000,offset,6.25000000000000000e-2,marching_cubes,0.0000,0,9.1325,0.0000,71.5651,17,15488,7497
90.0,65,71.5651,45.0000,offset,6.25000000000000000e-2,dual_contouring,0.0000,0,5.0641,0.0111,71.5651,17,15120,7316
90.0,129,71.5651,45.0000,offset,3.12500000000000000e-2,marching_cubes,0.0000,0,8.4540,0.0000,71.5651,17,62464,30607
